# t flux dt_minus dt_plus dflux_minus dflux_plus
4.1637e+01 2.3105e-11 2.5944e+00 2.5944e+00 1.1512e-12 1.1512e-12
4.6826e+01 2.1302e-11 2.5944e+00 2.5944e+00 3.5477e-12 3.5477e-12
5.2015e+01 1.9063e-11 2.5944e+00 2.5944e+00 1.3308e-12 1.3308e-12
5.7204e+01 2.0943e-11 2.5944e+00 2.5944e+00 2.2039e-12 2.2039e-12
6.2392e+01 1.3894e-11 2.5944e+00 2.5944e+00 1.2578e-12 1.2578e-12
6.7581e+01 1.2617e-11 2.5944e+00 2.5944e+00 1.2755e-12 1.2755e-12
7.2770e+01 1.5279e-11 2.5944e+00 2.5944e+00 7.1352e-12 7.1352e-12
7.7959e+01 1.0452e-11 2.5944e+00 2.5944e+00 1.8558e-12 1.8558e-12
8.3148e+01 7.2782e-12 2.5944e+00 2.5944e+00 3.1691e-12 3.1691e-12
8.8337e+01 6.6656e-12 2.5944e+00 2.5944e+00 1.5870e-12 1.5870e-12
9.3526e+01 8.2878e-12 2.5944e+00 2.5944e+00 1.9133e-12 1.9133e-12
9.8714e+01 8.6883e-12 2.5944e+00 2.5944e+00 3.6277e-12 3.6277e-12
1.0390e+02 7.2959e-12 2.5944e+00 2.5944e+00 3.0544e-12 3.0544e-12
-1.7855e+02 3.9489e-12 1.0067e+00 1.0067e+00 1.1811e-12 1.1811e-12
-1.7050e+02 2.8586e-12 1.0067e+00 1.0067e+00 2.5302e-12 2.5302e-12
-1.6849e+02 2.2584e-12 1.0067e+00 1.0067e+00 2.0056e-12 2.0056e-12
-1.6245e+02 1.2119e-12 1.0067e+00 1.0067e+00 4.6023e-13 4.6023e-13
-1.6043e+02 2.5010e-12 1.0067e+00 1.0067e+00 7.3202e-13 7.3202e-13
-1.5037e+02 2.0481e-12 1.0067e+00 1.0067e+00 7.4625e-13 7.4625e-13
-1.3023e+02 2.1055e-12 1.0067e+00 1.0067e+00 7.7209e-13 7.7209e-13
-1.2822e+02 2.2301e-12 1.0067e+00 1.0067e+00 4.4552e-13 4.4552e-13
-1.2419e+02 1.5173e-12 1.0067e+00 1.0067e+00 5.7928e-13 5.7928e-13
-1.2218e+02 2.0884e-12 1.0067e+00 1.0067e+00 7.8112e-13 7.8112e-13
-2.9560e+01 3.8482e-12 1.0067e+00 1.0067e+00 1.7067e-12 1.7067e-12
-2.7547e+01 5.3048e-12 1.0067e+00 1.0067e+00 1.3803e-12 1.3803e-12
-2.5534e+01 3.4045e-12 1.0067e+00 1.0067e+00 1.5576e-12 1.5576e-12
-2.3520e+01 7.6254e-12 1.0067e+00 1.0067e+00 1.4154e-12 1.4154e-12
-1.9493e+01 1.9584e-11 1.0067e+00 1.0067e+00 1.5478e-12 1.5478e-12
-1.7480e+01 2.5104e-11 1.0067e+00 1.0067e+00 1.8445e-12 1.8445e-12
-1.5466e+01 2.5871e-11 1.0067e+00 1.0067e+00 1.9081e-12 1.9081e-12
-1.3453e+01 2.7786e-11 1.0067e+00 1.0067e+00 1.3168e-12 1.3168e-12
-1.1440e+01 2.7840e-11 1.0067e+00 1.0067e+00 3.6467e-12 3.6467e-12
-9.4262e+00 1.7566e-11 1.0067e+00 1.0067e+00 3.7550e-12 3.7550e-12
-7.4127e+00 1.8059e-11 1.0067e+00 1.0067e+00 1.8449e-12 1.8449e-12
-5.3993e+00 1.4472e-11 1.0067e+00 1.0067e+00 2.3051e-12 2.3051e-12
6.4096e-01 1.5712e-11 1.0067e+00 1.0067e+00 1.1241e-12 1.1241e-12
2.6544e+00 1.4665e-11 1.0067e+00 1.0067e+00 1.6285e-12 1.6285e-12
4.6678e+00 1.2769e-11 1.0067e+00 1.0067e+00 2.5503e-12 2.5503e-12
6.6812e+00 1.1755e-11 1.0067e+00 1.0067e+00 3.8347e-12 3.8347e-12
1.2721e+01 1.7496e-11 1.0067e+00 1.0067e+00 2.8827e-12 2.8827e-12
1.4735e+01 4.3057e-11 1.0067e+00 1.0067e+00 5.0210e-12 5.0210e-12
1.6748e+01 5.2576e-11 1.0067e+00 1.0067e+00 7.0593e-12 7.0593e-12
1.8762e+01 5.2505e-11 1.0067e+00 1.0067e+00 3.1926e-12 3.1926e-12
2.0775e+01 4.1219e-11 1.0067e+00 1.0067e+00 2.5978e-12 2.5978e-12
2.2789e+01 4.5911e-11 1.0067e+00 1.0067e+00 5.4366e-12 5.4366e-12
2.4802e+01 4.0912e-11 1.0067e+00 1.0067e+00 2.4686e-12 2.4686e-12
2.8829e+01 2.7653e-11 1.0067e+00 1.0067e+00 2.4163e-12 2.4163e-12
3.0842e+01 2.9433e-11 1.0067e+00 1.0067e+00 4.1207e-12 4.1207e-12
3.4869e+01 2.3297e-11 1.0067e+00 1.0067e+00 2.9173e-12 2.9173e-12
3.6883e+01 2.8203e-11 1.0067e+00 1.0067e+00 1.4795e-12 1.4795e-12
