# t flux dt_minus dt_plus dflux_minus dflux_plus ind dind_minus dind_plus
-1.9321e+01 2.8473e-11 4.0370e-02 4.0370e-02 3.2943e-12 3.2943e-12 1.5026e+00 2.0232e-01 2.1167e-01
-1.7272e+01 2.5421e-11 1.3713e-01 1.3713e-01 2.0766e-12 2.0766e-12 1.4466e+00 1.4718e-01 1.5215e-01
-1.5398e+01 2.3243e-11 2.7310e-01 2.7310e-01 2.0280e-12 2.0280e-12 1.1892e+00 1.5400e-01 1.5940e-01
-1.2996e+01 2.5886e-11 2.7229e-01 2.7229e-01 1.9618e-12 1.9618e-12 1.4315e+00 1.3976e-01 1.4433e-01
-1.3038e+02 2.1055e-12 4.5346e-02 4.5346e-02 7.7209e-13 7.7209e-13 1.1798e+00 5.3295e-01 6.0287e-01
-1.2864e+02 2.2600e-12 4.2849e-02 4.2849e-02 5.8200e-13 5.8200e-13 2.4334e+00 6.2651e-01 7.5418e-01
-1.2727e+02 2.1877e-12 7.1271e-02 7.1271e-02 6.9242e-13 6.9242e-13 1.6119e+00 6.0764e-01 7.8805e-01
-1.2456e+02 1.5173e-12 1.0445e-01 1.0445e-01 5.7928e-13 5.7928e-13 1.9174e+00 6.5919e-01 7.6450e-01
-1.2141e+02 2.0884e-12 4.4288e-02 4.4288e-02 7.8112e-13 7.8112e-13 1.2328e+00 5.7734e-01 7.0986e-01
-2.4375e+01 7.6254e-12 1.0843e-01 1.0843e-01 1.4154e-12 1.4154e-12 1.0888e+00 3.5688e-01 4.0741e-01
-1.9067e+01 1.6459e-11 6.8837e-02 6.8837e-02 1.8845e-12 1.8845e-12 1.2540e+00 2.0358e-01 2.1349e-01
-1.4007e+01 2.9452e-11 1.7093e-01 1.7093e-01 3.0167e-12 3.0167e-12 1.3406e+00 1.8680e-01 1.9532e-01
2.1939e-02 1.7503e-11 1.4344e-01 1.4344e-01 1.7022e-12 1.7022e-12 1.7841e+00 2.0429e-01 2.1478e-01
3.6062e+01 2.6871e-11 7.1762e-02 7.1762e-02 3.0080e-12 3.0080e-12 1.3604e+00 1.9539e-01 2.0479e-01
3.6476e+01 2.8460e-11 1.4021e-01 1.4021e-01 2.4740e-12 2.4740e-12 1.3001e+00 1.4843e-01 1.5371e-01
3.9148e+01 2.5754e-11 1.3731e-01 1.3731e-01 2.4786e-12 2.4786e-12 1.2638e+00 1.6663e-01 1.7321e-01
-1.4244e+01 2.4854e-11 1.7076e-01 1.7076e-01 4.0745e-12 4.0745e-12 1.8660e+00 3.5771e-01 3.8521e-01
-1.3932e+01 3.2268e-11 3.4271e-02 3.4271e-02 5.7642e-12 5.7642e-12 1.7955e+00 3.4152e-01 3.6892e-01
-6.4621e+00 1.8059e-11 1.6472e-01 1.6472e-01 1.8449e-12 1.8449e-12 1.8398e+00 2.0610e-01 2.1560e-01
5.4140e-01 1.3950e-11 1.0222e-01 1.0222e-01 1.6240e-12 1.6240e-12 2.0964e+00 2.6196e-01 2.8098e-01
2.4751e+00 1.4286e-11 3.7269e-02 3.7269e-02 2.5554e-12 2.5554e-12 2.1748e+00 3.9266e-01 4.3101e-01
2.6692e+00 1.4925e-11 3.9688e-02 3.9688e-02 2.1133e-12 2.1133e-12 1.9305e+00 2.9858e-01 3.2192e-01
4.7358e+00 1.2769e-11 1.0225e-01 1.0225e-01 2.5503e-12 2.5503e-12 1.8602e+00 3.7951e-01 4.1825e-01
1.3180e+01 2.2783e-11 1.1318e-03 1.1318e-03 7.5609e-12 7.5609e-12 2.8926e+00 9.0813e-01 1.1570e+00
1.5426e+01 4.3057e-11 3.5629e-02 3.5629e-02 5.0210e-12 5.0210e-12 1.7467e+00 2.3940e-01 2.5480e-01
1.8016e+01 5.1688e-11 3.9564e-02 3.9564e-02 3.3607e-12 3.3607e-12 1.6030e+00 1.2426e-01 1.2956e-01
2.1078e+01 4.0021e-11 4.0448e-02 4.0448e-02 2.8974e-12 2.8974e-12 1.5582e+00 1.3192e-01 1.3760e-01
2.4275e+01 3.6497e-11 4.2056e-02 4.2056e-02 2.9140e-12 2.9140e-12 1.3494e+00 1.4153e-01 1.4896e-01
2.9506e+01 2.5804e-11 5.9418e-02 5.9418e-02 3.7012e-12 3.7012e-12 1.2785e+00 2.3036e-01 2.5032e-01
2.9644e+01 2.4870e-11 5.6596e-02 5.6596e-02 4.2991e-12 4.2991e-12 1.6565e+00 2.9435e-01 3.3369e-01
3.7875e+01 2.8778e-11 4.2042e-02 4.2042e-02 2.3381e-12 2.3381e-12 1.2441e+00 1.5188e-01 1.6086e-01
3.9043e+01 2.2485e-11 5.9304e-03 5.9304e-03 4.2154e-12 4.2154e-12 1.7566e+00 3.8437e-01 4.3161e-01
4.0396e+01 2.0559e-11 9.5973e-02 9.5973e-02 3.2991e-12 3.2991e-12 1.5937e+00 3.0544e-01 3.3741e-01
4.1396e+01 2.0910e-11 9.6262e-02 9.6262e-02 3.8285e-12 3.8285e-12 1.3037e+00 2.7993e-01 3.1418e-01
4.1868e+01 2.8331e-11 2.7432e-02 2.7432e-02 5.6093e-12 5.6093e-12 1.0809e+00 3.3424e-01 3.9021e-01
4.3165e+01 2.1592e-11 7.7061e-02 7.7061e-02 2.8861e-12 2.8861e-12 1.5438e+00 2.4518e-01 2.7080e-01
4.4301e+01 1.7257e-11 2.0241e-03 2.0241e-03 5.4829e-12 5.4829e-12 1.6763e+00 4.8684e-01 5.5124e-01
4.4841e+01 2.4216e-11 1.3618e-01 1.3618e-01 4.6530e-12 4.6530e-12 1.3329e+00 3.0603e-01 3.4734e-01
5.0726e+01 2.1594e-11 4.2851e-02 4.2851e-02 4.0136e-12 4.0136e-12 1.4857e+00 3.5822e-01 3.9269e-01
5.1922e+01 2.2600e-11 1.7049e-01 1.7049e-01 2.7872e-12 2.7872e-12 1.3531e+00 2.3734e-01 2.5342e-01
5.3093e+01 1.8844e-11 4.6844e-01 4.6844e-01 3.1974e-12 3.1974e-12 1.6503e+00 3.3618e-01 3.6431e-01
5.3995e+01 1.9824e-11 2.3854e-01 2.3854e-01 2.6999e-12 2.6999e-12 1.3312e+00 2.6425e-01 2.8773e-01
5.9027e+01 2.0329e-11 7.1835e-02 7.1835e-02 2.5794e-12 2.5794e-12 1.5495e+00 2.5888e-01 2.7662e-01
6.3340e+01 1.4325e-11 1.0520e-01 1.0520e-01 1.8337e-12 1.8337e-12 1.4790e+00 2.4765e-01 2.6346e-01
6.3835e+01 1.3510e-11 1.3523e-01 1.3523e-01 1.7285e-12 1.7285e-12 1.2254e+00 2.1709e-01 2.2865e-01
6.5170e+01 1.4277e-11 7.2504e-02 7.2504e-02 1.6841e-12 1.6841e-12 1.2439e+00 2.0938e-01 2.2636e-01
-1.7956e+02 3.9489e-12 1.0647e-01 1.0647e-01 1.1811e-12 1.1811e-12 1.2950e+00 5.0192e-01 5.5968e-01
-1.7001e+02 2.8586e-12 3.6115e-02 3.6115e-02 2.5302e-12 2.5302e-12 3.7529e+00 3.0598e+00 4.9578e+00
-1.6768e+02 2.2584e-12 3.7290e-01 3.7290e-01 2.0056e-12 2.0056e-12 3.5760e+00 2.6939e+00 4.4240e+00
-1.5957e+02 2.5010e-12 1.7576e-01 1.7576e-01 7.3202e-13 7.3202e-13 2.1055e+00 6.1817e-01 7.2036e-01
-1.4946e+02 2.0481e-12 6.9451e-02 6.9451e-02 7.4625e-13 7.4625e-13 1.5420e+00 5.6031e-01 6.3607e-01
-3.0322e+01 3.8482e-12 6.1442e-02 6.1442e-02 1.7067e-12 1.7067e-12 1.2891e+00 6.4240e-01 7.4827e-01
-2.7243e+01 5.3048e-12 8.9710e-01 8.9710e-01 1.3803e-12 1.3803e-12 1.1520e+00 4.7302e-01 5.2833e-01
-2.4922e+01 3.4045e-12 1.6726e-01 1.6726e-01 1.5576e-12 1.5576e-12 1.6307e+00 1.1834e+00 1.1239e+00
-1.9180e+01 2.0976e-11 1.3332e-01 1.3332e-01 4.7838e-12 4.7838e-12 1.4022e+00 4.0465e-01 4.4757e-01
-1.7915e+01 2.3309e-11 6.7552e-02 6.7552e-02 4.1794e-12 4.1794e-12 1.5164e+00 3.7497e-01 4.1598e-01
-1.6855e+01 3.1233e-11 6.6490e-02 6.6490e-02 1.4458e-11 1.4458e-11 1.1763e+00 6.8017e-01 7.9076e-01
-1.5751e+01 4.6137e-11 3.5961e-02 3.5961e-02 5.6324e-12 5.6324e-12 1.3515e+00 2.1654e-01 2.3097e-01
-1.4361e+01 3.5778e-11 3.4712e-02 3.4712e-02 9.4713e-12 9.4713e-12 1.6320e+00 4.9731e-01 5.5570e-01
-1.4065e+01 2.8036e-11 6.9420e-02 6.9420e-02 4.2683e-12 4.2683e-12 1.7031e+00 3.0752e-01 3.3192e-01
-1.2931e+01 3.2712e-11 8.1255e-03 8.1255e-03 4.4428e-12 4.4428e-12 1.3761e+00 2.3612e-01 2.4979e-01
-1.1408e+01 2.7840e-11 7.0540e-02 7.0540e-02 3.6467e-12 3.6467e-12 1.6875e+00 2.6186e-01 2.7957e-01
-1.0133e+01 1.7566e-11 7.5075e-03 7.5075e-03 3.7550e-12 3.7550e-12 2.0612e+00 4.4445e-01 4.8761e-01
-4.4029e+00 1.4472e-11 3.6618e-02 3.6618e-02 2.3051e-12 2.3051e-12 2.2364e+00 3.7018e-01 4.0502e-01
6.7719e-01 1.6462e-11 4.4255e-03 4.4255e-03 3.8613e-12 3.8613e-12 1.2981e+00 3.7157e-01 4.0917e-01
6.1598e+00 1.1755e-11 3.0020e-01 3.0020e-01 3.8347e-12 3.8347e-12 1.5820e+00 6.2035e-01 7.2850e-01
1.3561e+01 1.6597e-11 3.2564e-02 3.2564e-02 3.1182e-12 3.1182e-12 2.1741e+00 4.9350e-01 5.7263e-01
