# t flux dt_minus dt_plus dflux_minus dflux_plus
4.0813e+01 3.4270e-11 2.5018e+00 2.5018e+00 2.1367e-12 2.1367e-12
4.5816e+01 2.7848e-11 2.5018e+00 2.5018e+00 2.4827e-12 2.4827e-12
5.0820e+01 1.9846e-11 2.5018e+00 2.5018e+00 1.3590e-12 1.3590e-12
5.5824e+01 1.5284e-11 2.5018e+00 2.5018e+00 1.6904e-12 1.6904e-12
6.0827e+01 1.3170e-11 2.5018e+00 2.5018e+00 1.2039e-12 1.2039e-12
6.5831e+01 1.0685e-11 2.5018e+00 2.5018e+00 1.1503e-12 1.1503e-12
7.0835e+01 1.1953e-11 2.5018e+00 2.5018e+00 1.4405e-12 1.4405e-12
7.5838e+01 1.0266e-11 2.5018e+00 2.5018e+00 1.0532e-12 1.0532e-12
8.0842e+01 1.0934e-11 2.5018e+00 2.5018e+00 1.0198e-12 1.0198e-12
8.5846e+01 7.1609e-12 2.5018e+00 2.5018e+00 8.2183e-13 8.2183e-13
9.0849e+01 8.2905e-12 2.5018e+00 2.5018e+00 8.9517e-13 8.9517e-13
9.5853e+01 8.4981e-12 2.5018e+00 2.5018e+00 8.0522e-13 8.0522e-13
1.0086e+02 7.7295e-12 2.5018e+00 2.5018e+00 9.7589e-13 9.7589e-13
-2.8155e+01 3.2057e-12 1.0108e+00 1.0108e+00 9.3830e-13 9.3830e-13
-2.4111e+01 4.3697e-12 1.0108e+00 1.0108e+00 1.3185e-12 1.3185e-12
-2.0068e+01 1.7000e-11 1.0108e+00 1.0108e+00 1.5556e-12 1.5556e-12
-1.8046e+01 2.7591e-11 1.0108e+00 1.0108e+00 2.5970e-12 2.5970e-12
-1.6025e+01 1.8083e-11 1.0108e+00 1.0108e+00 1.6823e-12 1.6823e-12
-1.4003e+01 2.2450e-11 1.0108e+00 1.0108e+00 4.9888e-12 4.9888e-12
-1.1982e+01 1.6565e-11 1.0108e+00 1.0108e+00 2.3817e-12 2.3817e-12
-9.9599e+00 1.8015e-11 1.0108e+00 1.0108e+00 2.2692e-12 2.2692e-12
-7.9382e+00 1.7376e-11 1.0108e+00 1.0108e+00 3.4114e-12 3.4114e-12
-5.9166e+00 2.0834e-11 1.0108e+00 1.0108e+00 2.8842e-12 2.8842e-12
-1.8733e+00 1.3914e-11 1.0108e+00 1.0108e+00 2.4642e-12 2.4642e-12
2.1700e+00 9.0644e-12 1.0108e+00 1.0108e+00 1.2462e-12 1.2462e-12
4.1916e+00 9.2209e-12 1.0108e+00 1.0108e+00 1.3103e-12 1.3103e-12
6.2133e+00 1.0217e-11 1.0108e+00 1.0108e+00 3.3063e-12 3.3063e-12
8.2349e+00 8.4465e-12 1.0108e+00 1.0108e+00 1.3824e-12 1.3824e-12
1.0257e+01 1.0130e-11 1.0108e+00 1.0108e+00 1.2018e-12 1.2018e-12
1.2278e+01 1.6897e-11 1.0108e+00 1.0108e+00 1.2773e-12 1.2773e-12
1.4300e+01 3.1328e-11 1.0108e+00 1.0108e+00 2.7256e-12 2.7256e-12
1.6321e+01 3.8769e-11 1.0108e+00 1.0108e+00 2.4932e-12 2.4932e-12
1.8343e+01 4.4928e-11 1.0108e+00 1.0108e+00 4.4129e-12 4.4129e-12
2.0365e+01 3.7339e-11 1.0108e+00 1.0108e+00 3.9643e-12 3.9643e-12
2.2386e+01 3.4608e-11 1.0108e+00 1.0108e+00 3.4794e-12 3.4794e-12
2.4408e+01 3.1745e-11 1.0108e+00 1.0108e+00 2.2959e-12 2.2959e-12
2.6430e+01 2.7677e-11 1.0108e+00 1.0108e+00 2.3168e-12 2.3168e-12
2.8451e+01 2.8722e-11 1.0108e+00 1.0108e+00 2.3047e-12 2.3047e-12
3.0473e+01 2.7576e-11 1.0108e+00 1.0108e+00 2.0289e-12 2.0289e-12
3.2495e+01 3.3367e-11 1.0108e+00 1.0108e+00 2.1315e-12 2.1315e-12
3.4516e+01 3.1329e-11 1.0108e+00 1.0108e+00 2.2706e-12 2.2706e-12
3.6538e+01 3.2784e-11 1.0108e+00 1.0108e+00 2.5177e-12 2.5177e-12
