# t flux dt_minus dt_plus dflux_minus dflux_plus
4.0933e+01 2.5617e-11 2.6226e+00 2.6226e+00 1.0134e-12 1.0134e-12
4.6178e+01 2.4062e-11 2.6226e+00 2.6226e+00 1.6368e-12 1.6368e-12
5.1424e+01 2.0088e-11 2.6226e+00 2.6226e+00 1.0939e-12 1.0939e-12
5.6669e+01 1.5400e-11 2.6226e+00 2.6226e+00 1.0187e-12 1.0187e-12
6.1914e+01 1.3903e-11 2.6226e+00 2.6226e+00 9.7444e-13 9.7444e-13
6.7159e+01 1.1324e-11 2.6226e+00 2.6226e+00 7.9021e-13 7.9021e-13
7.2404e+01 1.1548e-11 2.6226e+00 2.6226e+00 1.3724e-12 1.3724e-12
7.7649e+01 1.1082e-11 2.6226e+00 2.6226e+00 8.1057e-13 8.1057e-13
8.2895e+01 8.7063e-12 2.6226e+00 2.6226e+00 1.1081e-12 1.1081e-12
8.8140e+01 7.2363e-12 2.6226e+00 2.6226e+00 7.3494e-13 7.3494e-13
9.3385e+01 8.1599e-12 2.6226e+00 2.6226e+00 6.7106e-13 6.7106e-13
9.8630e+01 9.7184e-12 2.6226e+00 2.6226e+00 1.0367e-12 1.0367e-12
1.0388e+02 6.3287e-12 2.6226e+00 2.6226e+00 7.4384e-13 7.4384e-13
-1.7855e+02 3.9489e-12 1.0067e+00 1.0067e+00 1.1811e-12 1.1811e-12
-1.7050e+02 2.8586e-12 1.0067e+00 1.0067e+00 2.5302e-12 2.5302e-12
-1.6849e+02 2.2584e-12 1.0067e+00 1.0067e+00 2.0056e-12 2.0056e-12
-1.6245e+02 1.2119e-12 1.0067e+00 1.0067e+00 4.6023e-13 4.6023e-13
-1.6043e+02 2.5010e-12 1.0067e+00 1.0067e+00 7.3202e-13 7.3202e-13
-1.5037e+02 2.0481e-12 1.0067e+00 1.0067e+00 7.4625e-13 7.4625e-13
-1.3023e+02 2.1055e-12 1.0067e+00 1.0067e+00 7.7209e-13 7.7209e-13
-1.2822e+02 2.2301e-12 1.0067e+00 1.0067e+00 4.4552e-13 4.4552e-13
-1.2419e+02 1.5173e-12 1.0067e+00 1.0067e+00 5.7928e-13 5.7928e-13
-1.2218e+02 2.0884e-12 1.0067e+00 1.0067e+00 7.8112e-13 7.8112e-13
-2.9560e+01 3.3548e-12 1.0067e+00 1.0067e+00 8.2224e-13 8.2224e-13
-2.7547e+01 5.3048e-12 1.0067e+00 1.0067e+00 1.3803e-12 1.3803e-12
-2.5534e+01 3.4045e-12 1.0067e+00 1.0067e+00 1.5576e-12 1.5576e-12
-2.3520e+01 5.8823e-12 1.0067e+00 1.0067e+00 9.6477e-13 9.6477e-13
-2.1507e+01 8.8074e-12 1.0067e+00 1.0067e+00 1.9193e-12 1.9193e-12
-1.9493e+01 2.1807e-11 1.0067e+00 1.0067e+00 1.4632e-12 1.4632e-12
-1.7480e+01 2.2916e-11 1.0067e+00 1.0067e+00 1.7384e-12 1.7384e-12
-1.5466e+01 2.2082e-11 1.0067e+00 1.0067e+00 1.9453e-12 1.9453e-12
-1.3453e+01 2.4601e-11 1.0067e+00 1.0067e+00 1.3692e-12 1.3692e-12
-1.1440e+01 2.7840e-11 1.0067e+00 1.0067e+00 3.6467e-12 3.6467e-12
-9.4262e+00 1.7895e-11 1.0067e+00 1.0067e+00 1.9422e-12 1.9422e-12
-7.4127e+00 1.7905e-11 1.0067e+00 1.0067e+00 1.6228e-12 1.6228e-12
-5.3993e+00 1.6952e-11 1.0067e+00 1.0067e+00 1.8007e-12 1.8007e-12
-1.3725e+00 1.3914e-11 1.0067e+00 1.0067e+00 2.4642e-12 2.4642e-12
6.4096e-01 1.3052e-11 1.0067e+00 1.0067e+00 9.5101e-13 9.5101e-13
2.6544e+00 1.3258e-11 1.0067e+00 1.0067e+00 1.1895e-12 1.1895e-12
4.6678e+00 9.9620e-12 1.0067e+00 1.0067e+00 1.1655e-12 1.1655e-12
6.6812e+00 1.0873e-11 1.0067e+00 1.0067e+00 2.5040e-12 2.5040e-12
8.6946e+00 8.4465e-12 1.0067e+00 1.0067e+00 1.3824e-12 1.3824e-12
1.0708e+01 1.0359e-11 1.0067e+00 1.0067e+00 1.0351e-12 1.0351e-12
1.2721e+01 2.1130e-11 1.0067e+00 1.0067e+00 1.3568e-12 1.3568e-12
1.4735e+01 3.4486e-11 1.0067e+00 1.0067e+00 2.8477e-12 2.8477e-12
1.6748e+01 4.1640e-11 1.0067e+00 1.0067e+00 2.2790e-12 2.2790e-12
1.8762e+01 4.8839e-11 1.0067e+00 1.0067e+00 2.6933e-12 2.6933e-12
2.0775e+01 3.9608e-11 1.0067e+00 1.0067e+00 2.1253e-12 2.1253e-12
2.2789e+01 3.6789e-11 1.0067e+00 1.0067e+00 2.4930e-12 2.4930e-12
2.4802e+01 3.5001e-11 1.0067e+00 1.0067e+00 1.7228e-12 1.7228e-12
2.6815e+01 2.8877e-11 1.0067e+00 1.0067e+00 2.5896e-12 2.5896e-12
2.8829e+01 2.7572e-11 1.0067e+00 1.0067e+00 1.4181e-12 1.4181e-12
3.0842e+01 2.9651e-11 1.0067e+00 1.0067e+00 2.4684e-12 2.4684e-12
3.2856e+01 3.3367e-11 1.0067e+00 1.0067e+00 2.1315e-12 2.1315e-12
3.4869e+01 2.8299e-11 1.0067e+00 1.0067e+00 1.7918e-12 1.7918e-12
3.6883e+01 2.9976e-11 1.0067e+00 1.0067e+00 1.2124e-12 1.2124e-12
